;CODIGO;TP;GRUPO;DESCRICAO;U.M.;ARMZ;SALDO FISICO;;;;CURVA;;
198;M1060984;MC;M106;TRAVA ROSCA TORQUE ALTO 277 - 250GR;PC;02;1;#REF!;2541798,17;#REF!;B;M1060984;
199;M1070005;MC;M107;CORREIA B 47;PC;02;20;#REF!;2541798,17;#REF!;B;M1070005;
200;M1070007;MC;M107;CORREIA A 73;PC;02;9;#REF!;2541798,17;#REF!;B;M1070007;
201;M1070014;MC;M107;CORREIA DENTADA 5VX0900;PC;02;15;#REF!;2541798,17;#REF!;A;M1070014;
202;M1070015;MC;M107;CORREIA 5XV1120;PC;02;8;#REF!;2541798,17;#REF!;B;M1070015;
203;M1070018;MC;M107;CORREIA 5V1250;PC;02;8;#REF!;2541798,17;#REF!;B;M1070018;
204;M1070020;MC;M107;CORREIA B 120;PC;02;7;#REF!;2541798,17;#REF!;B;M1070020;
205;M1070021;MC;M107;CORREIA 5V850;PC;02;9;#REF!;2541798,17;#REF!;B;M1070021;
206;M1070022;MC;M107;CORREIA HNV 14525X900;PC;02;3;#REF!;2541798,17;#REF!;A;M1070022;
207;M1070027;MC;M107;CORREIA HNV 13000X600 COM TALISCA;PC;02;1;#REF!;2541798,17;#REF!;A;M1070027;
208;M1070033;MC;M107;CORREIA B 136;PC;02;8;#REF!;2541798,17;#REF!;B;M1070033;
209;M1070034;MC;M107;CORREIA 5VX 1060;PC;02;16;#REF!;2541798,17;#REF!;A;M1070034;
210;M1070054;MC;M107;CORREIA DENTADA 5 VX 950;PC;02;8;#REF!;2541798,17;#REF!;B;M1070054;
211;M1070057;MC;M107;COLARINHO FLEXIVEL TREVIRA 228INT. 130MM;PC;02;2;#REF!;2541798,17;#REF!;B;M1070057;
212;M1070058;MC;M107;CORREIA B 162;PC;02;24;#REF!;2541798,17;#REF!;A;M1070058;
213;M1070059;MC;M107;CORREIA HNV 12300 X 640 LISA;PC;02;1;#REF!;2541798,17;#REF!;B;M1070059;
214;M1070061;MC;M107;CORREIA 5VX 0710 GOODYEAR;PC;02;12;#REF!;2541798,17;#REF!;B;M1070061;
215;M1070062;MC;M107;CORREIA B 150;PC;02;12;#REF!;2541798,17;#REF!;A;M1070062;
216;M1070063;MC;M107;CORREIA B 168;PC;02;16;#REF!;2541798,17;#REF!;B;M1070063;
217;M1070064;MC;M107;CORREIA B 52;PC;02;12;#REF!;2541798,17;#REF!;B;M1070064;
218;M1070066;MC;M107;CORREIA B165;PC;02;20;#REF!;2541798,17;#REF!;B;M1070066;
219;M1070068;MC;M107;CORREIA C84;PC;02;5;#REF!;2541798,17;#REF!;B;M1070068;
220;M1070069;MC;M107;CORREIA C90;PC;02;6;#REF!;2541798,17;#REF!;B;M1070069;
221;M1070078;MC;M107;CORREIA DENTADA QXPC 4250 -FENNER QUATTRO PLUS - EREMA;PC;02;12;#REF!;2541798,17;#REF!;A;M1070078;
222;M1070079;MC;M107;CORREIA DENTADA QXPC3150 - FENNER QUATTRO PLUS  - EREMA;PC;02;9;#REF!;2541798,17;#REF!;A;M1070079;
223;M1070080;MC;M107;CORREIA HNV BB80 7400 X 470 COM TALISCA;PC;02;1;#REF!;2541798,17;#REF!;A;M1070080;
224;M1070087;MC;M107;CORREIA HNV 10/4 U0/V5 A VERDE  - ESP.3MM - EREMA;PC;02;1;#REF!;2541798,17;#REF!;A;M1070087;
225;M1070089;MC;M107;CORREIA PERFIL SPC 5000 LW  OPTIBELT - STF;PC;02;29;#REF!;2541798,17;#REF!;A;M1070089;
226;M1070092;MC;M107;CORREIA SPA1432 LW OPTIBELT - STF;PC;02;10;#REF!;2541798,17;#REF!;B;M1070092;
227;M1070093;MC;M107;CORREIA SPA 2532 LW OPTIBELT- STF;PC;02;15;#REF!;2541798,17;#REF!;A;M1070093;
228;M1070094;MC;M107;CORREIA C75;PC;02;15;#REF!;2541798,17;#REF!;B;M1070094;
229;M1070096;MC;M107;CORREIA C82;PC;02;20;#REF!;2541798,17;#REF!;A;M1070096;
230;M1070099;MC;M107;CORREIA C86;PC;02;12;#REF!;2541798,17;#REF!;B;M1070099;
231;M1080001;MC;M108;FLAP DISC 7 POL 80;PC;02;42;#REF!;2541798,17;#REF!;B;M1080001;
232;M1080009;MC;M108;FLAP DISC 4.1/2 POL 80;PC;02;118;#REF!;2541798,17;#REF!;B;M1080009;
233;M1080019;MC;M108;DISCO CORTE 4.1/2 X 3/64 X 7/8 - INOX;PC;02;86;#REF!;2541798,17;#REF!;B;M1080019;
234;M1090020;MC;M109;CADEADO E 25;PC;02;20;#REF!;2541798,17;#REF!;B;M1090020;
235;M1090207;MC;M109;CHAPA PRETA 1/8 3MM X 1000 X 2000;PC;02;1;#REF!;2541798,17;#REF!;B;M1090207;
236;M1090217;MC;M109;CHAPA FRISO DOBRADA;PC;02;33;#REF!;2541798,17;#REF!;A;M1090217;
237;M1090220;MC;M109;CINTA DE INOX 1310X3/8-FECHADA;PC;02;1;#REF!;2541798,17;#REF!;A;M1090220;
238;M1090225;MC;M109;CHAPA DE FUNDO REDONDA INOX-1298X3/8;PC;02;1;#REF!;2541798,17;#REF!;A;M1090225;
239;M1090279;MC;M109;"CANT. 3"" X 3"" X 1/2""";PC;02;2;#REF!;2541798,17;#REF!;A;M1090279;
240;M1090286;MC;M109;CHAPA FUNDO REDONDO INOX 1195 X 3/8;PC;02;1;#REF!;2541798,17;#REF!;A;M1090286;
241;M1090296;MC;M109;"TUBO 2"" SCHEDULE 40 S/ COSTURA";PC;02;4;#REF!;2541798,17;#REF!;B;M1090296;
242;M1090304;MC;M109;FLANGE 90X90 - FLUTUANTE;PC;02;5;#REF!;2541798,17;#REF!;B;M1090304;
243;M1090316;MC;M109;TUBO P/ SUPORTE INJECAO CRUZETA;PC;02;20;#REF!;2541798,17;#REF!;B;M1090316;
244;M1090369;MC;M109;CANALETA RECORTADA PARA PEINAL 80 X 50 PVC;PC;02;13;#REF!;2541798,17;#REF!;B;M1090369;
245;M1090578;MC;M109;OLHAL SOLD. LBS-05T;PC;02;3;#REF!;2541798,17;#REF!;B;M1090578;
246;M1100014;MC;M110;ARAME P/ SOLDA MIG 1MM  - 18 KILOS;KG;02;18;#REF!;2541798,17;#REF!;B;M1100014;
247;M1100019;MC;M110;BROCA DIREITA 19MM;PC;02;12;#REF!;2541798,17;#REF!;B;M1100019;
248;M1100077;MC;M110;ESMERILHADEIRA 5´´  (125MM) DEWALT;PC;02;2;#REF!;2541798,17;#REF!;B;M1100077;
249;M1100078;MC;M110;CALIBRADOR DE FOLGA EM ROLO 10 X 0.03MM -7,6;PC;02;2;#REF!;2541798,17;#REF!;B;M1100078;
250;M1100193;MC;M110;ESPATULA FORJADA 10 CM - PACETTA;PC;02;13;#REF!;2541798,17;#REF!;B;M1100193;
251;M1100219;MC;M110;CINTA ELEVACAO 4GANCHOS 1500KG;PC;02;1;#REF!;2541798,17;#REF!;B;M1100219;
252;M1100265;MC;M110;"ELETRODO OK 48 Ø 1/8""";KG;02;30;#REF!;2541798,17;#REF!;B;M1100265;
253;M1100272;MC;M110;"CHAVE DE IMPACTO PNEUMATICA 1/2"" STANLEY 97006";PC;02;1;#REF!;2541798,17;#REF!;B;M1100272;
254;M1100280;MC;M110;FITA ISOLANTE 3M SCOTCH 33+;PC;02;18;#REF!;2541798,17;#REF!;B;M1100280;
255;M1100287;MC;M110;TESOURA ALFAIATE 490-12;PC;02;1;#REF!;2541798,17;#REF!;B;M1100287;
256;M1100343;MC;M110;TOCHA MIG;PC;02;1;#REF!;2541798,17;#REF!;B;M1100343;
257;M1100419;MC;M110;CINTA DE INOX 1200 X 250 X 3/8  FECHADA;PC;02;1;#REF!;2541798,17;#REF!;A;M1100419;
258;M1100420;MC;M110;CHUMBADOR PBA 1/2X5.1/2;PC;02;96;#REF!;2541798,17;#REF!;B;M1100420;
259;M1100429;MC;M110;MACHO MANUAL ACO RAP. 3/4-10;JG;02;1;#REF!;2541798,17;#REF!;B;M1100429;
260;M1100434;MC;M110;BROCA ESQUERDA 19MM;PC;02;2;#REF!;2541798,17;#REF!;B;M1100434;
261;M1100541;MC;M110;BROCA FRESA FORSTNER 60MM COM DENTES FRESADOS;PC;02;3;#REF!;2541798,17;#REF!;B;M1100541;
262;M1100600;MC;M110;"SOQUETE DE IMPACTO SEXT. 17MM - 3/4"" - INK32-17 - GEDORE";PC;02;0;#REF!;2541798,17;#REF!;B;M1100600;
263;M1100615;MC;M110;"CHAVE SOQUETE DE IMPACTO PONTA ALLEN 17MM ENCAIXE DE 3/4  - GEDORE-23180			";PC;02;6;#REF!;2541798,17;#REF!;B;M1100615;
264;M1100645;MC;M110;BATERIA BA223030 (6.6V=/2100MAH) P/CONTROLE DE TALHA;PC;02;1;#REF!;2541798,17;#REF!;B;M1100645;
265;M1100652;MC;M110;GRAMPEADOR TAPECEIRO ALTA PRESSAO ID-9987B MATRIX;PC;02;4;#REF!;2541798,17;#REF!;B;M1100652;
266;M1100689;MC;M110;CHAVE COMBINADA 46;PC;02;4;#REF!;2541798,17;#REF!;B;M1100689;
267;M1100702;MC;M110;ALICATE AMPERIMETRO DIGITAL 302 - FLUKE;PC;02;3;#REF!;2541798,17;#REF!;B;M1100702;
268;M1110019;MC;M111;PERFIL DE BORRACHA  BRANCA;MT;02;4.6;#REF!;2541798,17;#REF!;B;M1110019;
269;M1110023;MC;M111;OBTURADOR EMBORRACHADO - MP 3150;UN;02;4;#REF!;2541798,17;#REF!;B;M1110023;
270;M1120013;MC;M112;MANGUEIRA DE AR 1/2 500PSI;MT;02;50;#REF!;2541798,17;#REF!;B;M1120013;
271;M1120033;MC;M112;"MANGUEIRA 1SN DN38 DIN EN853 SAE 100 R1AT Ø 1.1/2""";MT;02;8.1;#REF!;2541798,17;#REF!;B;M1120033;
272;M1120045;MC;M112;MANGUEIRA PU VACUO ESP. ACO 102MM;MT;02;5;#REF!;2541798,17;#REF!;B;M1120045;
273;M1120450;MC;M113;TUBO FLEX,PVC KANAFLEX KE 65 - 2,1/2 AZUL;MT;02;25;#REF!;2541798,17;#REF!;A;M1120450;
274;M1120451;MC;M113;"TUBO FLEX,PVC KEF 50 - 2"" BRANCO";MT;02;10;#REF!;2541798,17;#REF!;B;M1120451;
275;M2010013;MC;M201;CHAVE PARTIDA 15CV 220V;UN;02;2;#REF!;2541798,17;#REF!;B;M2010013;
276;M2010028;MC;M201;INDICADOR E CONTROLADOR HW7000 LRRR -IA 24V -COEL;UN;02;1;#REF!;2541798,17;#REF!;B;M2010028;
277;M2010037R;MC;M201;CELULA DE CARGA ACO INOXIDAVEL 2.200KG IP68;PC;02;1;#REF!;2541798,17;#REF!;B;M2010037R;
278;M2010053;MC;M201;BOTOEIRA P/ TALHA LARANJA HY 1022 6A;PC;02;3;#REF!;2541798,17;#REF!;B;M2010053;
279;M2010076;MC;M201;RELE ESTADO SOLIDO P/ TRILHO DIN 24 45A SSM1A45BD;PC;02;1;#REF!;2541798,17;#REF!;B;M2010076;
280;M2010087;MC;M201;RELE DE SEGURANCA 3TK2825 24VD;PC;02;1;#REF!;2541798,17;#REF!;B;M2010087;
281;M2010089;MC;M201;TEMPORIZADOR LWKT;PC;02;1;#REF!;2541798,17;#REF!;B;M2010089;
282;M2010092;MC;M201;INDICADOR E CONTROLADOR HW4300 L 3QCSI 100 A 240V - COEL;PC;02;1;#REF!;2541798,17;#REF!;B;M2010092;
283;M2010097;MC;M201;SENSOR INDUTIVO BES 516-105-SA2-05 - BALLUFF;PC;02;4;#REF!;2541798,17;#REF!;A;M2010097;
284;M2010117;MC;M201;CHAVE SECCIONADOR SP160 NH00;PC;02;1;#REF!;2541798,17;#REF!;B;M2010117;
285;M2010124;MC;M201;CONTATOR POTENCIA CWM50 220V;PC;02;1;#REF!;2541798,17;#REF!;B;M2010124;
286;M2010129;MC;M201;CONTATOR CWM 12 10 E;PC;02;4;#REF!;2541798,17;#REF!;B;M2010129;
287;M2010135;MC;M201;CONTATOR LC1 D 18;PC;02;5;#REF!;2541798,17;#REF!;B;M2010135;
288;M2010137;MC;M201;CONTATOR CAD 32;PC;02;3;#REF!;2541798,17;#REF!;B;M2010137;
289;M2010162;MC;M201;BATERIA 12V 40A  P/LUMINARIA DE EMERGENCIA AUREOLUX BLH 55N;PC;02;1;#REF!;2541798,17;#REF!;B;M2010162;
290;M2010187;MC;M201;RELE ESTADO SOLIDO 40A 3RF23 40-1AA02 24V DC - SIEMENS;PC;02;4;#REF!;2541798,17;#REF!;B;M2010187;
291;M2010195;MC;M201;POTENCIOMENTRO SIMPLES  10K;PC;02;18;#REF!;2541798,17;#REF!;B;M2010195;
292;M2010200;MC;M201;CONTATOR CWM40 220V;PC;02;2;#REF!;2541798,17;#REF!;B;M2010200;
293;M2010203;MC;M201;CHAVE SECCIONADORA SP400 HOLEC;PC;02;1;#REF!;2541798,17;#REF!;B;M2010203;
294;M2010205;MC;M201;CHAVE PARTIDA-PDW02-3V40(3CV) - 380V;PC;02;2;#REF!;2541798,17;#REF!;B;M2010205;
295;M2010223;MC;M201;BOTOEIRA P/ TALHA SWH4 (BOMAN);PC;02;2;#REF!;2541798,17;#REF!;B;M2010223;
296;M2010234;MC;M201;PAINEL DE INVERSOR HMI 01 CFW11 WEG;PC;02;1;#REF!;2541798,17;#REF!;B;M2010234;
297;M2010235;MC;M201;CONTATOR CWB9 11 30 C03 24 VDC - WEG;PC;02;3;#REF!;2541798,17;#REF!;B;M2010235;
298;M2010236;MC;M201;CONTATOR 3RT1025-1B - 24VCC-SIEMENS;PC;02;1;#REF!;2541798,17;#REF!;B;M2010236;
299;M2010240;MC;M201;TEMPORIZADOR AY15S-24 VCA/CC-1,5A15SEG-COEL;PC;02;1;#REF!;2541798,17;#REF!;B;M2010240;
300;M2010244;MC;M201;BOTAO COMUTADOR CSW CK2F45;PC;02;13;#REF!;2541798,17;#REF!;B;M2010244;
301;M2010256;MC;M201;CONTROLADOR DE TEMPERATURA C0414-4RRS-0 85-265V;PC;02;2;#REF!;2541798,17;#REF!;B;M2010256;
302;M2010262;MC;M201;CHAVE SECCIONADORA 400A - SFW400 WEG;PC;02;2;#REF!;2541798,17;#REF!;B;M2010262;
303;M2010273;MC;M201;POTENCIOMETRO 5K  SIMPLES;PC;02;6;#REF!;2541798,17;#REF!;B;M2010273;
304;M2010276;MC;M201;INVERSOR FREQUENCIA TRIFASICO 380-480V 16A 7,5KW WEG;PC;02;1;#REF!;2541798,17;#REF!;A;M2010276;
305;M2010277;MC;M201;GANCHO P/ TALHA CL 1000-CAP. 2,0 TON;PC;02;1;#REF!;2541798,17;#REF!;B;M2010277;
306;M2010278;MC;M201;SACOLA TIPO LONA P/ CORRENTE P/TALHA ELETRICA MOD.KE-90  CAP.2000KG;PC;02;1;#REF!;2541798,17;#REF!;B;M2010278;
307;M2010281;MC;M201;FONTE CHAV.FC03-24V-3A-72W-METALICA 13275;PC;02;2;#REF!;2541798,17;#REF!;B;M2010281;
308;M2010300;MC;M201;BOTAO COMUTADOR KNOB (CSW-CA3R45)3P RETORNO POR MOLA;PC;02;6;#REF!;2541798,17;#REF!;B;M2010300;
309;M2010311;MC;M201;CONTATOR MAGNETICO CMH10 SWITCH CHEIL 48-50V 50/60HZ;PC;02;2;#REF!;2541798,17;#REF!;B;M2010311;
310;M2010312;MC;M201;CONTROLADOR DE TEMPERATURA HW4200 S-4Q 100 A 240 VCA (COEL);PC;02;1;#REF!;2541798,17;#REF!;B;M2010312;
311;M2010317;MC;M201;SACOLA TIPO LONA P/ CORRENTE P/TALHA ELETRICA MOD.KE-90  CAP.1000KG;UN;02;3;#REF!;2541798,17;#REF!;B;M2010317;
312;M2010319;MC;M201;CHAVE FIM DE CURSO FM8104 380VAC 220VDC 5A  (METALTEX);PC;02;1;#REF!;2541798,17;#REF!;B;M2010319;
313;M2010320;MC;M201;CHAVE DE ALAVANCA MANIPULADORA 2NA+2NF PA22 C/RETORNO AO CENTRO;PC;02;2;#REF!;2541798,17;#REF!;B;M2010320;
314;M2010324;MC;M201;MICRO FIM DE CURSO CAM SWITCH HY- SQ5-GP1 (P/TALHA);PC;02;2;#REF!;2541798,17;#REF!;B;M2010324;
315;M2010326;MC;M201;FONTE CHAVEADA PRO ECO 120W, 24V, 5A -WEIDMÜLLER;PC;02;1;#REF!;2541798,17;#REF!;B;M2010326;
316;M2010327;MC;M201;RELE INTERFACE Q1R -220VAC 8A -METALTEX;PC;02;4;#REF!;2541798,17;#REF!;B;M2010327;
317;M2010350;MC;M201;CHAVE SECCIONADORA  3NP11631BC10 630A (DESC) SIEMENS;PC;02;2;#REF!;2541798,17;#REF!;A;M2010350;
318;M2010354;MC;M201;MODULO COMUNICACAO KRS-485-CFW08;PC;02;2;#REF!;2541798,17;#REF!;B;M2010354;
319;M2010361;MC;M201;PROGRAMADOR SEQÜENCIADOR ELETRONICO  10-220/24-200” COD1007165 10 SAIDAS S/CAIXA;PC;02;1;#REF!;2541798,17;#REF!;A;M2010361;
320;M2010363;MC;M201;VALVULA SOLENOIDE PARA  TROCADOR DE CALOR (18715000000) - EREMA;PC;02;2;#REF!;2541798,17;#REF!;A;M2010363;
321;M2010364;MC;M201;RELE ESTADO SOLIDO SR1-1240 AUTONICS;PC;02;2;#REF!;2541798,17;#REF!;B;M2010364;
322;M2010365;MC;M201;RELE PROGRAMAVEL CLW-02/20HR-D 3RD;PC;02;1;#REF!;2541798,17;#REF!;B;M2010365;
323;M2010369;MC;M201;RELE ESTADO SOLIDO 3RF2320-1AA45 SIEMENS  -EREMA;PC;02;3;#REF!;2541798,17;#REF!;B;M2010369;
324;M2010375;MC;M201;FLANGE DOS BOTOES AF3X10 -WEG;PC;02;55;#REF!;2541798,17;#REF!;B;M2010375;
325;M2010376;MC;M201;DISJUNTOR MOTOR DE 20 A 25 A -  SCHNEIDER -EREMA;PC;02;3;#REF!;2541798,17;#REF!;B;M2010376;
326;M2010377;MC;M201;RELE ESTADO SOLIDO 50A ZG3NC-350B;PC;02;4;#REF!;2541798,17;#REF!;B;M2010377;
327;M2010409;MC;M201;CHAVE SEGURANCA TZ1LE024M-VAB  - EUCHNER   COD.083965 - EREMA;PC;02;2;#REF!;2541798,17;#REF!;A;M2010409;
328;M2010410;MC;M201;CHAVE SEGURANCA TZ1RE024M-VAB - EUCHNER   COD.083966  - EREMA;PC;02;1;#REF!;2541798,17;#REF!;A;M2010410;
329;M2010412;MC;M201;ATUADOR RADIAL NZ/TZ COD.057950 - EUCHNER  - EREMA;PC;02;2;#REF!;2541798,17;#REF!;B;M2010412;
330;M2010414;MC;M201;FONTE AC LINHA 3000 MOD. FAC3100 REV6;PC;02;1;#REF!;2541798,17;#REF!;B;M2010414;
331;M2010415;MC;M201;RELE DE SEGURANCA PSWZ X1P 0,5V/24-240VACDC 2N/0 1N/C 2S0 -EREMA;PC;02;1;#REF!;2541798,17;#REF!;A;M2010415;
332;M2010420;MC;M201;CONTROLADOR TEMPERAT DIG 2NF 24VCA/CC HW4300/L-3CSI COEL;PC;02;1;#REF!;2541798,17;#REF!;B;M2010420;
333;M2010421;MC;M201;MODULO COMUNICACAO RS485-01 -  (MODBUS);PC;02;1;#REF!;2541798,17;#REF!;B;M2010421;
334;M2010446;MC;M201;RESISTOR FIO 10W  1K   - FORMATO RETANGULAR;PC;02;25;#REF!;2541798,17;#REF!;B;M2010446;
335;M2010479;MC;M201;SENSOR DE PH - SC22 - 5 M;PC;02;2;#REF!;2541798,17;#REF!;B;M2010479;
336;M2010489;MC;M201;INDICADOR E CONTROLADOR HW7000 HCRR - IA  240V - COEL;UN;02;3;#REF!;2541798,17;#REF!;B;M2010489;
337;M2010558;MC;M201;BLOCO CONTATO AUX 4NA BFB-40 12122947;PC;02;10;#REF!;2541798,17;#REF!;B;M2010558;
338;M2010569;MC;M201;SENSOR MAGNETICO SSM5 FUNCAO SEGURANCA NR12 - WEG;PC;02;3;#REF!;2541798,17;#REF!;B;M2010569;
339;M2010570;MC;M201;RELE DE SEGURANCA MSR127TP 24VAC/DC ALLEN-BRADLEY;PC;02;1;#REF!;2541798,17;#REF!;B;M2010570;
340;M2010630;MC;M201;CHAVE DE NIVEL VIBRATORIA PARA PRODUTOS SOLIDOS GRANULADOS  VEGAVIB 61;PC;02;1;#REF!;2541798,17;#REF!;A;M2010630;
341;M2010636;MC;M201;CONTATOR 40A 24-27VDC DILM40-RDC24 - MOELLER;PC;02;2;#REF!;2541798,17;#REF!;A;M2010636;
342;M2010657;MC;M201;MODULO I/O CFW500-IOAD;PC;02;1;#REF!;2541798,17;#REF!;B;M2010657;
343;M2010660R;MC;M201;CELULA DE CARGA SUPER CARCARA 4400KG;PC;02;5;#REF!;2541798,17;#REF!;A;M2010660R;
344;M2010670;MC;M201;INVERSOR DE FREQUENCIA 8400 STATELINE - E84AVSCE3024SXS-XXXXX 0-599 HZ;PC;02;1;#REF!;2541798,17;#REF!;A;M2010670;
345;M2010676;MC;M201;"PT 100 Ø6X100MM ROSCA 1/2""NPT";PC;02;1;#REF!;2541798,17;#REF!;B;M2010676;
346;M2010677;MC;M201;BOBINA P/ EVP/NC DN15;PC;02;1;#REF!;2541798,17;#REF!;B;M2010677;
347;M2010678;MC;M201;BOBINA P/ EVPF/NC DN15;PC;02;1;#REF!;2541798,17;#REF!;B;M2010678;
348;M2010679;MC;M201;BOBINA P/ EVPS/NC DN15;PC;02;2;#REF!;2541798,17;#REF!;B;M2010679;
349;M2010685;MC;M201;CELULA CARGA SPL-20KG CABO 3M;UN;02;1;#REF!;2541798,17;#REF!;B;M2010685;
350;M2010686;MC;M201;CELULA CARGA SPL-15KG CABO 3M;UN;02;1;#REF!;2541798,17;#REF!;B;M2010686;
351;M2010688;MC;M201;SECCIONADORA ROTATIVA MSW 160 B-3 H;UN;02;1;#REF!;2541798,17;#REF!;B;M2010688;
352;M2010692;MC;M201;SIST EXAUSTAO BR BIVOLT CVT31003 IP 54 RAL7032;PC;02;1;#REF!;2541798,17;#REF!;B;M2010692;
353;M2010702;MC;M201;SIRENE AUDIOVISUAL 12/24 VCC - ASAV 1224;PC;02;2;#REF!;2541798,17;#REF!;B;M2010702;
354;M2010706;MC;M201;RELE ESTADO SOLIDO 35/40 AMP 3 -32VDC / 24 -480VAC;PC;02;6;#REF!;2541798,17;#REF!;B;M2010706;
355;M2010708;MC;M201;CONTROLE REMOTO MOD. SAGA1L8B-4C-2VEL;PC;02;1;#REF!;2541798,17;#REF!;A;M2010708;
356;M2010717;MC;M201;VENTILADOR P/ INVERSOR VN0110148 FAN 172X150X51  24VCC 480M3/H - 4CC;UN;02;1;#REF!;2541798,17;#REF!;A;M2010717;
357;M2020021;MC;M202;LANCE DE CABO 6 MTS P/ BOTOEIRA 1,5X4  (C/CABO DE ACO EMBUTIDO);PC;02;4;#REF!;2541798,17;#REF!;A;M2020021;
358;M2020094;MC;M202;CABO FLEXIVEL 25MM PRETO;MT;02;52.5;#REF!;2541798,17;#REF!;B;M2020094;
359;M2020125;MC;M202;CABO FLEX.1X35MM² -750V-VERDE;MT;02;40;#REF!;2541798,17;#REF!;B;M2020125;
360;M2020126;MC;M202;CABO FLEX MULTIVIAS 20X1MM;MT;02;20;#REF!;2541798,17;#REF!;B;M2020126;
361;M2020128;MC;M202;CABO DE SILICONE 6MM-ALTA TEMPERATURA;MT;02;146;#REF!;2541798,17;#REF!;B;M2020128;
362;M2020166;MC;IMP;FIO DE LUZ BAUMER 1,5M  - EREMA;UN;02;;#REF!;2541798,17;#REF!;B;M2020166;
363;M2020219;MC;M202;CABO DE COMANDO BOTOEIRA DA TALHA SSI CORRENTE CAPACIDADE 02 TONELADAS (6 METROS;PC;02;1;#REF!;2541798,17;#REF!;B;M2020219;
364;M2030040;MC;M203;RESIST CERAMICA 250X95 2600W 230V - RESISTENCIA CABO MIN 300°;PC;02;3;#REF!;2541798,17;#REF!;A;M2030040;
365;M2030043;MC;M203;RESIST 370X57.5 2400W 230V;PC;02;3;#REF!;2541798,17;#REF!;A;M2030043;
366;M2030044;MC;M203;RESIST C 360X117.5 4600W 230V;PC;02;2;#REF!;2541798,17;#REF!;A;M2030044;
367;M2030045;MC;M203;RESIST 370X50 2100W 230V;PC;02;2;#REF!;2541798,17;#REF!;B;M2030045;
368;M2030051;MC;M203;RESIST COL 170X80 1500W 260V;PC;02;2;#REF!;2541798,17;#REF!;B;M2030051;
369;M2030059;MC;M203;RESIST 290X4 2000W 230V;PC;02;2;#REF!;2541798,17;#REF!;B;M2030059;
370;M2030063;MC;M203;RESIST CART 189.5X560 2000W;PC;02;4;#REF!;2541798,17;#REF!;A;M2030063;
371;M2030064;MC;M203;RESIST TUB 366X8.2 2500W 230V;PC;02;1;#REF!;2541798,17;#REF!;B;M2030064;
372;M2030067;MC;M203;RESIST WORT 1900W 230V OP23011;PC;02;3;#REF!;2541798,17;#REF!;B;M2030067;
373;M2030070;MC;M203;RESIST WORT 1200W 220V OP23098;PC;02;4;#REF!;2541798,17;#REF!;B;M2030070;
374;M2030071;MC;M203;RESIST WORT 650W 220V MAD3009;PC;02;8;#REF!;2541798,17;#REF!;A;M2030071;
375;M2030073;MC;M203;RESIST PLANA DE ALUM 6000W 380V OF18073;PC;02;3;#REF!;2541798,17;#REF!;A;M2030073;
376;M2030075;MC;M203;RESIST COL 90X150 1200W 380V;PC;02;2;#REF!;2541798,17;#REF!;B;M2030075;
377;M2030076;MC;M203;RESIST COL 170X65 1200W230;PC;02;13;#REF!;2541798,17;#REF!;A;M2030076;
378;M2030078;MC;M203;RESIST 110X150 1200W 380V;PC;02;6;#REF!;2541798,17;#REF!;B;M2030078;
379;M2030079;MC;M203;RESIST 110X50 550W 380V;PC;02;2;#REF!;2541798,17;#REF!;B;M2030079;
380;M2030081;MC;M203;RESIST HBM 90X125 1000W 380V;PC;02;4;#REF!;2541798,17;#REF!;A;M2030081;
381;M2030082;MC;M203;RESIST HBM 90X105 825W 380V;PC;02;2;#REF!;2541798,17;#REF!;B;M2030082;
382;M2030083;MC;M203;RESIST COL 172X95 2100W 220V;PC;02;2;#REF!;2541798,17;#REF!;B;M2030083;
383;M2030085;MC;M203;RESIST COL 275X60 1650W 220V;PC;02;3;#REF!;2541798,17;#REF!;B;M2030085;
384;M2030087;MC;M203;RESIST 90X80 600W 380V;PC;02;6;#REF!;2541798,17;#REF!;B;M2030087;
385;M2030089;MC;M203;RESIST 210X230 2250W 380V;PC;02;1;#REF!;2541798,17;#REF!;B;M2030089;
386;M2030093;MC;M203;RESIST COL 105X185 2000W 380V;PC;02;12;#REF!;2541798,17;#REF!;A;M2030093;
387;M2030101;MC;M203;RESIT 110X90 380W 380V;PC;02;1;#REF!;2541798,17;#REF!;B;M2030101;
388;M2030104;MC;M203;RESIST WORT 4500W 230V OP24306;PC;02;3;#REF!;2541798,17;#REF!;B;M2030104;
389;M2030106;MC;M203;RESIST WORT 1450W 230V OP24288;PC;02;4;#REF!;2541798,17;#REF!;B;M2030106;
390;M2030107;MC;M203;RESIST WORT1600W 230V OP24304;PC;02;2;#REF!;2541798,17;#REF!;B;M2030107;
391;M2030109;MC;M203;RESIST WORT 3900W 230V OP24302;PC;02;1;#REF!;2541798,17;#REF!;B;M2030109;
392;M2030111;MC;M203;RESIST WORT 2000W 230V OP24303;PC;02;1;#REF!;2541798,17;#REF!;B;M2030111;
393;M2030114;MC;M203;RESIST WORT 850W 230V HAD3010;PC;02;4;#REF!;2541798,17;#REF!;B;M2030114;
394;M2030115;MC;M203;RESIST WORT 2400W 230V OP22275;PC;02;2;#REF!;2541798,17;#REF!;B;M2030115;
395;M2030117;MC;M203;RESIST 915W 380V OP24566;PC;02;3;#REF!;2541798,17;#REF!;B;M2030117;
